sentence1,sentenceid1,docid1,sentence2,sentenceid2,docid2,sentence3,sentenceid3,docid3,sentence4,sentenceid4,docid4,sentence5,sentenceid5,docid5
"This aggregate demographic information can not be used to personally identify you or your computer .",4848,50,"Third parties who fulfill Site-related services such as hosting may collect the personal information you provide on our Sites .",4849,50,"These third parties will not use your personal information for any purpose other than to provide the Site-related services , and have agreed to maintain confidentiality , surveys , security , and integrity of your personal information .",4850,50,"Third parties that advertise through or serve ads on our Sites may gather non-personally identifying data about the advertisements you viewed and the Site pages that interest you through the use of cookies and clear GIFs ( these technologies are described below ) .",4851,50,"This information helps advertisers determine which kinds of advertisements you might prefer .",4852,50
"Wizards ' privacy policy does not cover the policies or practices of these third parties .",4853,50,"Visitors should consult the third parties ' privacy notices .",4854,50,"Wizards may share your information with its related entities , including its parent and sister companies .",4856,50,"Wizards may share your personal information with outside entities hired to assist with internal web site support operations ( e.g. , community operations , online product fulfillment , e-mail services , or technical support ) .",4857,50,"Wizards also may disclose your personal information in order to fulfill a service to you .",4859,50
"For example , if you are entering a sweepstakes or contest , we may use your personally identifiable information in order to fulfill the terms of that promotion .",4860,50,"This means that we may share the information for prize fulfillment purposes or mail carriers .",4861,50,"Also , if you make a purchase on one of our sites , your credit card data may have to be disclosed to an unaffiliated third party payment processing company as necessary to complete your purchase ( for example , to process your credit card ) .",4862,50,"In the event that such data is shared , Wizards will take all reasonable steps to ensure the applicable third parties protect the data adequately .",4863,50,"We may disclose personal information in the good faith belief that we are required to do so by law , including but not limited to disclosure to law enforcement or other government officials in connection with an investigation of fraud , intellectual property infringements , or other activity that is illegal or may expose you or us to legal liability .",4864,50
"Except as set forth herein , Wizards of the Coast LLC , as a subsidiary of Hasbro , Inc. does not sell , rent , or otherwise disclose personal information collected from and about its users ( including children under 13 ) to third parties .",4865,50,"However , in the event of a merger , acquisition , reorganization , bankruptcy , or other similar event , Wizards ' customer information may be transferred to Wizards ' successor or assign , if permitted by and done in accordance with applicable law .",4866,50,"You also can engage with our content on or through third-party social networking sites , such as Facebook and Twitter ( or third-party social media plug-ins and applications ) .",4867,50,"When you engage with our content on or through third-party social networking sites , plug-ins and applications , you may allow us to have access to certain information from your social media profile ( e.g. , name , e-mail address , photo , gender , birthday , location , your list of friends , people you follow and/or who follow you , the posts or the likes ' you make ) to deliver the content or as part of the operation of the application .",4868,50,"We may also obtain non-personally identifiable information ( e.g. , content viewed , game performance , high scores , and information about advertisements within the content you have been shown or may have clicked on , ) from your interaction with our content .",4869,50
"When you provide information from your social media account , it can help enable us to do things like ( 1 ) give you exclusive content , ( 2 ) personalize your online experience with us within and outside our websites ( and/or applications ) , and ( 3 ) contact you through the social networking sites or directly by sending you the latest news , special offerings , and rewards .",4870,50,"When you provide personal information to us through an application , on our sites , or on social networking sites , it may be publicly viewed by other members of these sites and we can not prevent further use of the information by third parties .",4872,50,"Through some social networking sites ' privacy settings , you can control what data you share .",4873,50,"If you choose to provide us with personally identifiable information , Wizards may transfer that information to its parent , affiliates and subsidiaries or to other third parties , across borders , and from your country or jurisdiction to other countries or jurisdictions around the world .",4876,50,"If you are visiting from the European Union or other regions with laws governing data collection and use that may differ from U.S. law , please note that you are transferring your personally identifiable information to the United States which does not have the same data protection laws as the EU and by providing your personally identifiable information you consent to :",4877,50
"* the use of your personally identifiable information for the uses identified above in accordance with this privacy policy ; and",4878,50,"* the transfer of your personally identifiable information to the United States as indicated above .",4879,50,"Clear GIFs , sometimes called `` web bugs '' or pixel tags , are file objects , usually a graphic image such as a transparent one pixel-by-one pixel GIF ( Graphics Interchange Format , one of the two most common file formats for images on the Web ) , that are placed on a Web page or in an e-mail message to monitor user behavior .",4881,50,"The GIF tells us the IP address of the computer that fetched our page , the URL of the page the GIF is on , the time the page was viewed , the type of browser used , and it can also identify a previously set cookie value .",4882,50,"Cookies are pieces of information that we place on your computer to help us accurately understand how many consumers are visiting a particular site , how often they visit that site and what content they are most interested in viewing .",4886,50
"For example , a cookie will allow us to remember certain things based on your Internet Protocol or `` IP '' address ( an IP address is the string of numbers that identifies each sender or receiver of information that is sent across the Internet ) , such as the time and duration of your visits , how you navigated through our content and where you exited a particular site .",4887,50,"We do not normally link IP addresses to anything personally identifiable , which means that a user 's session will be logged , but the user remains anonymous to us .",4890,50,"We can and will use IP addresses to identify a user when we feel it is necessary to enforce compliance with our community rules Code of Conduct or posted Legal Notice , or to protect our services , web sites , customers , or others .",4891,50,"These entries are generated anonymously , and help Wizards determine ( among other things ) how many and how often users have visited our web sites , which pages they 've visited , and other similar data .",4893,50,"We also use the log file entries for our internal marketing and demographic studies , so we can constantly improve the online services we provide you .",4894,50
"Linking to third party sites",4895,50,"To provide relevant information not found on our Sites and to facilitate online shopping , Wizards may provide links from our Sites to third party web sites .",4896,50,"We encourage our users to read third party sites ' privacy policies before submitting personal information..",4897,50,"If you do not want Wizards to send you e-mail or regular mail about our products and/or services , you can opt-out at the time of registration or at the time of information collection .",4898,50,"If you are receiving e-mails or regular mail and at a later date you choose to opt-out and have your name removed from Wizards ' e-mail list , you can do so by using the link included with a Wizards e-mail or by contacting customer service .",4899,50
"Wizards will only collect personal information to the extent deemed reasonably necessary to serve our legitimate business purposes , and we will take appropriate steps to ensure the security and integrity of any information you provide to us .",4908,50,"Wizards uses Secure Sockets Layering , an industry-standard protocol for certain of your transmissions to us , in order to encrypt the personal information that you send to us through account registration and payment processes .",4910,50,"If you have registered with our site , you may at any time review and/or update the contact information we have for you or inform us that you want us to remove your information from our database by contacting customer service .",4913,50,"Please be sure to include in your message the name of the feature for which you registered and the e-mail address you used to register so that we can verify your request .",4914,50,"Beginning on January 1 , 2005 , California Civil Code Section 1798.83 permits customers of Wizards who are California residents to request certain information regarding its disclosure of personal information to third parties for their direct marketing purposes .",4923,50
"We do not share our customer 's personal information with unaffiliated third parties for their own direct marketing purposes .",4924,50,"Any questions or complaints about Wizards or this privacy statement can be addressed by contacting Customer Service :",4933,50,"We reserve the right to change this statement at any time , so visit this page from time to time to check for changes .",4941,50,"Wizards recognizes that some younger children may not understand some of the information contained on the web sites or how the web sites operate .",4944,50,"Please discuss this statement with your children so that they will better understand how to use the web sites and the information they may be asked to provide .",4946,50
"Wizards may collect personal information from users over 13 and under 18 ( `` teenager '' ) .",4958,50,"When a web site user in this age category submits personal information , Wizards may request a parent or guardian 's e-mail address to notify the parent or guardian of the teenager 's activity .",4959,50,"Wizards may collect and store personal information about children under 13 ( `` children '' or `` child '' ) if it is submitted by way of our registration form and with the parent 's or legal guardian 's verifiable consent .",4962,50,"If given verifiable permission from a parent or legal guardian , Wizards may collect and store the following types of personal information about a child under 13 : name , e-mail address , mailing address , parent 's or legal guardian 's name , and parent 's or legal guardian 's email address .",4966,50,"Wizards may also collect demographic information about a child such as the child 's date of birth , gender , and other preferences ; and , combine such information with the child 's personal information .",4967,50
"The information that a child provides on his/her registration form may be used to : ( a ) allow the child to participate in activities on our web sites ( e.g. , contests ) ; and , ( b ) allow us to send the child promotional materials , including information about new products , contests , features and enhancements , special offers , and other events of interest .",4971,50,"Wizards may share kids ' personal information with outside entities hired to assist with internal website support operations ( e.g. , online product fulfillment , e-mail services , or technical support ) .",4972,50,"We may also use the information for our internal marketing and demographic studies , so that we can constantly improve the products and services we provide our visitors and to better meet their needs .",4974,50,"Please note that we are prohibited from conditioning a child 's participation in an activity - like contests - on the child 's disclosure of more personal information than is reasonably necessary to participate in the activity .",4975,50,"In some instances , certain portions of our web sites ( e.g. , electronic postcards ) will allow children under 13 to submit personal information such as their e-mail addresses without first obtaining their parents ' or legal guardians ' consent .",4977,50
"Your child 's participation may result in public disclosure of the personal information he or she posts through these features .",4980,50,"Wizards may share children 's personal information with outside entities hired to assist with internal web site support operations ( e.g. , community operations , online product fulfillment , e-mail services , or technical support ) .",4983,50,"We may disclose personal information in the good faith belief that we are required to do so by law , including but not limited to disclosure to law enforcement or other government officials in connection with an investigation of fraud , intellectual property infringements , or other activity that is illegal or may expose you or us to legal liability .",4985,50,"Wizards , as a subsidiary of Hasbro , Inc. does not sell , rent , or otherwise disclose personal information collected from and about its users ( including children under 13 ) to third parties .",4986,50,"However , in the event of a merger , acquisition , reorganization , bankruptcy , or other similar event , Wizards ' customer information may be transferred to Wizards ' successor or assign , if permitted by and done in accordance with applicable law .",4987,50
"Wizards will only collect personal information to the extent deemed reasonably necessary to serve our legitimate business purposes , and we will take appropriate steps to ensure the security and integrity of any information your child provides to us .",4989,50,"We may also notify customers via email and/or other means , in our discretion .",4993,50,"A parent who has already given Wizards permission to collect and use his or her child 's personal information can , at any time review , correct , or have deleted the child 's personal information or discontinue further collection and use of the child 's personal information .",4994,50,"We may also create cookies external to the phpBB software whilst browsing xkcd , though these are outside the scope of this document which is intended to only cover the pages created by the phpBB software .",9798,85,"This can be , and is not limited to : posting as an anonymous user ( hereinafter anonymous posts ) , registering on xkcd ( hereinafter your account ) and posts submitted by you after registration and whilst logged in ( hereinafter your posts ) .",9800,85
"Your password is the means of accessing your account at xkcd , so please guard it carefully and under no circumstance will anyone affiliated with xkcd , phpBB or another 3rd party , legitimately ask you for your password .",9808,85,"Should you forget your password for your account , you can use the I forgot my password feature provided by the phpBB software .",9809,85,"Please take a few minutes and review the revised policy .",10616,95,"If you do not accept this revised policy , Kijiji may not be able to provide you with our service .",10618,95,"Accordingly , you may close your account here .",10619,95
"These Corporate Rules are a commitment by eBay Inc. to adequately protect your personal information regardless of where the data resides , and depending upon your location , may provide additional privacy rights through your privacy regulator or a court .",10625,95,"If you would like additional information regarding the Corporate Rules contact us via the contact details below .",10626,95,"email address , phone numbers , physical contact information , and ( depending on the service used ) sometimes financial information ( including credit card and billing information ) ;",10631,95,"computer sign-on data , statistics on page views , traffic to and from Kijiji and ad data ( all through cookies - you can take steps to disable the cookies on your browser although this is likely to affect your ability to use the site ) ;",10632,95,"Kijiji does n't sell or rent users ' personal information to third parties for their marketing purposes without users explicit consent .",10642,95
"Kijiji may disclose personal information to respond to legal requirements , enforce our policies , respond to claims that a posting or other content violates other 's rights , or protect anyone 's rights , property , or safety .",10643,95,"Kijiji may also share personal information with :",10644,95,"corporate affiliates who help detect and prevent potentially illegal acts and provide joint services .",10645,95,"( Our corporate affiliates will market only to users who ask them to ) .",10646,95,"service providers who help with our business operations .",10647,95
"third-party websites and publishers so ads ( or the content of the ads ) published on Kijiji can also be published on a broader array of venues or information vehicles .",10648,95,"Kijiji Daily Deal merchants who require information on the Kijiji Daily Deals customers who purchased their offer so that the offer can be fulfilled .",10649,95,"You may not use our site or communication tools to harvest addresses , send spam or otherwise breach our Terms of Use or Privacy Policy .",10654,95,"Kijiji may automatically scan and manually filter messages sent via our communication tools for malicious activity or prohibited content , but Kijiji does not permanently store such messages .",10655,95,"You can see , modify or erase most of your personal information by reviewing and modifying your posting or account status page , by signing on to My Kijiji or by contacting customer support to review any personal information Kijiji stores that is not available on Kijiji .",10660,95
"There may a charge associated with such requests but these will not exceed the amounts permitted by law .",10661,95,"If you have further questions , you can write to the Data Controller :",10664,95,"or you may contact customer support .",10668,95,"We may share your information with members of the eBay Inc. corporate family - like eBay or PayPal - to provide joint content and services ( like registration , transactions and customer support ) , to help detect and prevent potentially illegal acts and violations of our policies , and to guide decisions about their products , services and communications .",10670,95,"Kijiji or our service providers may use `` cookies '' ( small files placed on your hard drive ) on certain of our pages to help analyze our web page flow ; customize our services , content and advertising ; measure promotional effectiveness , and promote trust and safety .",10673,95
"A few important things you should know about cookies are that :",10674,95,"Kijiji offers certain features that are available only through the use of cookies .",10675,95,"You are always free to decline cookies if your browser permits , although doing so may interfere with your use of some of our sites or services .",10677,95,"Kijiji sometimes works with service providers who may place cookies on your computer to serve and measure the effectiveness of ads on our or our advertising partners ' behalf and collect anonymous information about how you use websites owned by Kijiji and its affiliates .",10679,95,"Kijiji may update this policy at any time , with updates taking effect when you next use the site or after 30 days , whichever is sooner .",10683,95
"If Kijiji or our corporate affiliates are involved in a merger or acquisition , Kijiji may share personal information with another company , but this policy will continue to apply .",10684,95,"We may share this information between us so we can provide the services you order and manage your account .",11563,103,"That 's so we can provide you with the service , charge you for it and let you know if we make changes to it .",11568,103,"When you first order a phone service from us , or buy certain new services , we run a credit check on you .",11570,103,"To do that we give some of your personal information to credit reference agencies .",11571,103
