sentence1,sentence2,sentence3,sentence4,sentence5
"We may also call you by name in the waiting room when your physician is ready to see you .","We may use or disclose your protected health information , as necessary , to contact you to remind you of your appointment .","We will share your protected health information with third party business associates that perform various activities ( e.g. , billing , transcription services ) for the practice .","We may use or disclose your protected health information , as necessary , to provide you with information about treatment alternatives or other health-related benefits and services that may be of interest to you .","We may also use and disclose your protected health information for other marketing activities ."
"For example , your name and address may be used to send you a newsletter about our practice and the services we offer .","We may also send you information about products or services that we believe may be beneficial to you .","You may contact our Privacy Contact to request that these materials not be sent to you .","We may use or disclose your demographic information and the dates that you received treatment from your physician , as necessary , in order to contact you for fundraising activities supported by our office .","You may revoke this authorization , at any time , in writing , except to the extent that your physician or the physician 's practice has taken an action in reliance on the use or disclosure indicated in the authorization ."
"Other Permitted and Required Uses and Disclosures that may be made without Your Authorization or Opportunity to Object","We may use and disclose your protected health information in the following instances .","If you are not present or able to agree or object to the use or disclosure of the protected health information , then your physician may , using professional judgment , determine whether the disclosure is in your best interest .","Unless you object , we will use and disclose in our facility directory your name , the location at which you are receiving care , your condition ( in general terms ) , and your religious affiliation .","Others Involved in Your Healthcare ."
"Unless you object , we may disclose to a member of your family , a relative , a close friend or any other person you identify , your protected health information that directly relates to that person 's involvement in your health care .","If you are unable to agree or object to such a disclosure , we may disclose such information as necessary if we determine that it is in your best interest based on our professional judgment .","We may use or disclose protected health information to notify or assist in notifying a family member , personal representative or any other person that is responsible for your care of your location , general condition or death .","Finally , we may use or disclose your protected health information to an authorized public or private entity to assist in disaster relief efforts and to coordinate uses and disclosures to family or other individuals involved in your health care .","We may use or disclose your protected health information in an emergency treatment situation ."
"If your physician or another physician in the practice is required by law to treat you and the physician has attempted to obtain your acknowledgement , but is unable , he or she may still use or disclose your protected health information for treatment , payment , and health care operations .","We may use and disclose your protected health information if your physician or another physician in the practice attempts to obtain an acknowledgement of our Privacy Practices from you , but is unable to do so due to substantial communication barriers .","Other Permitted and Required Uses and Disclosures that may be made without Your Consent , Authorization or Opportunity to Object","We may use or disclose your protected health information in the following situations without your acknowledgement or authorization .","Following is a statement of your rights with respect to your protected health information and a brief description of how you may exercise these rights ."
"This means you may inspect and obtain a copy of protected health information about you that is contained in a designated record set for as long as we maintain the protected health information .","Under federal law , however ; you may not inspect or copy the following records : psychotherapy notes ; information compiled in reasonable anticipation of , or use in , a civil , criminal , or administrative action or proceeding ; and protected health information that is subject to law that prohibits access to protected health information .","Depending on the circumstances , a decision to deny access may be reviewable .","In some circumstances , you may have a right to have this decision reviewed .","This means you may ask us not to use or disclose any part of your protected health information for the purposes of treatment , payment or healthcare operations ."
"You may also request that any part of your protected health information not be disclosed to family members or friends who may be involved in your care or for notification purposes as described in this Notice of Privacy Practices .","Your physician is not required to agree to a restriction that you may request .","If your physician does agree to the requested restriction , we may not use or disclose your protected health information in violation of that restriction unless it is needed to provide emergency treatment .","You may request a restriction by submitting a written request to our Privacy Contact .","We may also condition this accommodation by asking you for information as to how payment will be handled or specification of an alternative address or other method of contact ."
"You may have the right to have your physician amend your protected health information .","This means you may request an amendment of protected health information about you in a designated record set for as long as we maintain this information .","In certain cases , we may deny your request for an amendment .","If we deny your request for amendment , you have the right to file a statement of disagreement with us and we may prepare a rebuttal to your statement and will provide you with a copy of any such rebuttal .","You have the right to receive an accounting of certain disclosures we have made , if any , of your protected health information ."
"It excludes disclosures we may have made to you , for a facility directory , to family members or friends involved in your care , or for notification purposes .","You may request a shorter timeframe .","The right to receive this information is subject to certain exceptions , restrictions and limitations .","You may complain to us or to the Secretary of Health and Human Services if you believe your privacy rights have been violated by us .","You may file a complaint with us by notifying our Privacy Contact of your complaint ."
"You may contact our Privacy Contact Robert Rey , at 310 205-3107 for further information about the complaint process .","Welcome ! This Online Privacy Policy applies to your use of websites , interactive services and mobile device applications provided by Meredith Corporation or our affiliates ( collectively , Meredith , we or us ) and that display an authorized link to this policy ( collectively , the Services ) .","Please take a few minutes to read them before using or registering to access our Services .","Information We May Obtain from Other Sources Security , Retention and Storage of Information","We wo n't knowingly allow anyone under the age of 13 to provide us any personally identifying information online ."
"Children should always get permission from their parents before sending any personal information about themselves ( such as their names , email addresses , and phone numbers ) over the Internet , to us or to anyone else .","Third-party providers and advertisers featured on , or linked to from , our Services may also gather information through processes that we do n't control and subject to their own separate privacy policies , which may differ from ours .","You may register to use certain features of our Services .","When you register , we may collect personally identifying information , including your name , postal address , email address , user name and password , reminder questions and answers and communications preferences , such as which newsletters you would like to receive .","We may also ask for information about age , gender , hobbies , interests and the like , but you 're free to register for most of our Services without providing this additional information ."
"When you register for one of our Services , the information you provide may be added to a centralized Meredith database so that you may be simultaneously registered for our other Services as well .","In addition , when you use various aspects of our Services , we may ask you for personally identifying information , including when you order products , complete a survey , enter a contest , or report a problem with our Services .","We and our authorized third-party service providers use this information to process orders , tailor our Services to your interests or otherwise improve our Services .","We may also collect contact information for other individuals when you use the sharing tools available within some of our Services to forward content or offers to your friends and associates .","Please note that if you use any `` send-to-a-friend '' features of our Services , your email address may be included in the communication sent to your friend ."
"From time to time , we may offer contests , sweepstakes or other promotions .","Participation in these promotions may require registration for our Services ( see Registration and Other Personally Identifying Information , above ) .","If you participate in these promotions , we collect contact information such as your name , address , and email address and we may share this information with co-sponsors or other third parties involved in the presentation of the promotion that we identify in the rules or entry materials .","We do n't control these third parties ' privacy practices , and our Privacy Policy does not apply to their collection and use of your information .","We may also share some of your entry information with third parties or the public in connection with the administration of the promotion , such as winner selection and prize fulfillment , and as permitted by the promotion 's official rules , such as on a winners ' list ."
"Meredith or third-party contractors acting on our behalf may collect certain information automatically when you use our Services , including :","Your Internet Protocol ( IP ) address ( a numerical address assigned to your computer by your Internet service provider so that other computers connected to the Internet can communicate with you online ) that can sometimes be used to derive your general geographic area ;","Unique identifiers , including mobile device identification numbers , that can identify the physical location of such devices in accordance with applicable law ;","Like most website and mobile application operators , we , or third parties acting on our behalf , use embedded scripts , cookies , web beacons and other similar technologies to operate our Services .","Cookies are small amounts of data ( often containing a unique identifier ) that are stored in separate files within your computer 's Internet browser ."
"Cookies are accessed and recorded by the websites you visit , and by the companies that deliver the advertisements you see on websites , so they can recognize the same browser navigating online .","We use cookies for the following general purposes :","To help us recognize your browser as a previous visitor and save and remember any preferences that may have been set while your browser was visiting one of our websites .","For example , if you register for a Meredith Service , we may save your username and password , so you do not have to re-enter them each time you visit .","To help control the display of advertisements and customize the content and advertisements you see while using our Services and sometimes while visiting other websites online ."
"Third-party companies that provide some of the tools and features accessible through our Services and advertisers and other companies involved in the delivery of the advertisements that you see while using our Services and other websites also may place cookies within your browser .","We do not have access to these cookies and do not control how they may be used .","You can set your browser to accept or reject most cookies , or to notify you when a cookie is set .","It is up to you whether to allow us or third parties to send you or to set cookies , but if you block cookies , you may not be able to view or access some of the features of our Services .","Please be aware that certain browsers can not block or delete so-called `` Flash '' cookies , which use a feature of the Adobe Flash video player to store information on your computer ."
"We and our service providers and other third-party companies involved in the delivery of advertisements you see on our Services and/or while visiting other unaffiliated websites may also use scripts , web beacons and/or similar technologies , to collect information about your use of our Services .","Web beacons ( sometimes called transparent GIFs , clear GIFs , or pixel tags ) embed a small graphic image ( usually invisible ) on a web page or in an email .","When your browser downloads a web beacon , the server that sends the corresponding image to your browser can recognize and store certain types of information such as cookies previously set , the time and date that you viewed the page embedded with the beacon and a description of that page .","Certain mobile devices , including smart phones and tablet devices , contain unique device IDs that can be used to identify their physical location .","Mobile devices also typically transmit caller ID data ( which may include a phone number ) when used to transmit a telephone call or text message ."
"When you use mobile devices to access our Services , we may collect and transmit unique device IDs and collect caller ID data , information about your wireless carrier , the make , model and operating system of your device and information about how you navigate within our Service .","With your consent , we also may use precise geolocation technology such as GPS or WiFi triangulation to collect information about the exact location of your mobile device .","We and our service providers may use information collected when you use our Services to serve interest-based advertisements on our Services and on other third-party websites that participate in advertising networks that we operate .","The data collection for our networks currently is managed by our service provider , Collective .","You can also easily opt-out of these targeted ads by clicking on the AdChoices icon located in the footer of our web sites ."
"We also may work with other third-party advertising companies and data providers to target and serve some of the advertisements you see on our Services and on other websites , to send emails on our behalf , and to provide related analytics , forecasting , optimization and audience segmentation services .","These companies may use their own cookies , web beacons and similar technologies to collect navigation information from our users that they may use , sometimes in conjunction with similar information gathered through other websites , to deliver advertisements tailored to match perceived user interests and/or for other purposes .","To enable you to receive customized ads , content or services , some of these companies may also place or recognize a unique cookie on your browser that reflects de-identified demographic data or other information about you that they obtained from third-party data suppliers .","To enable these cookies , we may share with these companies your email address or other registration information in an encrypted format ( i.e . hashed non-human readable form ) solely for the purpose of matching you to a relevant demographic profile .","Most of the third-party advertising and data companies we work with , including DoubleClick and Google , are members of the Network Advertising Initiative ( NAI ) and/or the DAA ) ."
"We also engage Omniture , a third party , to track and analyze usage and browsing patterns of our users .","Many of our advertisers also engage other third-party vendors to help them deliver advertisements tailored to your interests , and evaluate and improve the effectiveness of their advertising campaigns .","We do not have access to the information these third parties may collect and this Policy does not cover their information practices .","You can access various social network posting and sharing tools through our Services that are operated by third parties , including a share button that allows you to post links to content and features that you believe will be of interest to others on your social network pages .","When you use one of these sharing tools , the third-party company that operates the tool may be collecting information about your browser , device and online activity through its own tracking technologies and subject to its own separate privacy policy , which may differ from ours ."
"The Share button functionality available within many of our Services is provided by Gigya , Inc. and its privacy policy is available here .","Some of our advertisers may participate in a program operated by the Nielsen Company to develop an Online Campaign Ratings service that is comparable to Nielsen 's television ratings .","When one of their ads appears on our Services , it may contain a web beacon that will record your exposure to the ad , read certain cookies on your browser , and forward this information to one or more operators of third-party websites or other online service on which you may have registered .","If the third-party operator recognizes a cookie that identifies you as one of its registered users , it will append the impression data it receives , which may identify you as a user our Services , with age and gender information before returning the data to Nielsen .","According to Nielsen , these reports measure campaign performance on an aggregate level within various demographic categories and do not identify you personally ."
"Information We May Obtain From Other Sources","We may combine the information we collect through the Services with other information that we obtain about you , your computer , and/or device from other companies and sources , including third-party data suppliers and public databases .","The following are examples of information we may collect from other sources :","Because our Services are supported by advertising , we also use the information we collect to help advertisers efficiently reach consumers who are most likely to be interested in their products and services .","We only use payment and identity verification information , such as credit card numbers , driver 's license numbers , social security numbers , or comparable national identifiers as necessary to complete a particular transaction , provide a requested service , enforce legal rights or comply with applicable law ."
"In addition , we and our authorized service providers generally use other information that we collect about you to :","Provide you with special offers and promotions from companies within our corporate family , and select third parties in accordance with applicable law ;","Except as otherwise expressly noted herein or within the Services , we may share any information that we collect through our Services , including without limitation , your name , postal address ( and any other information we combine with that information ) with our Meredith-affiliated companies , our provider partners and service providers , and with carefully selected third-party marketers of products and services potentially of interest to you .","To remove your name and postal address from lists that we sell or rent to third parties for their direct marketing purposes , please use the postal list opt-out form available here `` opt-out '' form or send your request to us in a letter addressed to Meredith Corporation , Opt-Out Postal , Attn : Circulation , 1716 Locust Street , Des Moines , Iowa 50309 ) .","Without your consent , we will not sell or rent your email address to unaffiliated third parties for their email marketing purposes ."
"If you choose to subscribe to any of Meredith 's newsletters or commercial email lists , you can unsubscribe at any time by following the unsubscribe link at the bottom of each message or by visiting our Email Preferences page on our sites and updating your preferences .","Provider Partners and Service Providers .","To make your experience with our Services more useful and enjoyable , we may offer some features ( such as chat rooms and email newsletters ) in conjunction with third-party providers ( Provider Partners ) that specialize in operating such services .","We share with each of these Provider Partners such information as is useful or necessary to provide you with the services we offer through that Provider Partner .","We may combine information that we collect about you with information that we collect about other users of our Services and share it in a form that does not identify you personally ."
"We may use aggregated information or other anonymous information and disclose it to third parties as we see fit .","Keep in mind that any information that you choose to post to blogs , discussion forums , or other community or social networking services that we offer can be seen , collected and used by anyone who has access to the applicable service .","We can not be responsible for any unauthorized third-party use of such information .","Notwithstanding anything to the contrary stated herein or within our Services , we may occasionally release information about users of our Services when we deem such release appropriate to comply with law , respond to compulsory process or law enforcement requests , enforce our Visitor Agreement , or protect the rights , property or safety of users of our Services , the public , Meredith Corporation , our affiliates , or any third party .","Over time , we may reorganize or transfer various assets and lines of business ."
"Notwithstanding anything to the contrary stated herein or on our Services , we reserve the right to disclose or transfer any information we collect to third parties in connection with any proposed or actual purchase , sale , lease , merger , foreclosure , liquidation , amalgamation or any other type of acquisition , disposal , transfer , conveyance or financing of all or any portion of Meredith or our affiliates .","We also may provide links to other websites or services , and provide access to products and services offered by third parties , whose privacy policies we do n't control .","We can not guarantee the security of our databases , nor can we guarantee that information you supply wo n't be intercepted while being transmitted to us over the Internet .","For the purposes set out in this Online Privacy Policy , personally-identifying information may be transferred to , processed , stored and accessed by us , our affiliates and our unaffiliated service providers in the United States and in other jurisdictions where we or they operate .","Courts and other authorities in these jurisdictions may , in certain circumstances , be entitled to access your personally-identifying information ."
"California residents have the right to request and obtain from us , once a year and free of charge , a list of the third parties to whom we have disclosed certain types of personal information ( if any ) for their direct marketing purposes in the prior calendar year .","At our option , we may respond to such requests by providing instructions about how our users can exercise their options to prevent our disclosure of personal information to third parties for their direct marketing purposes .","You can read these instructions above in the section of our Online Privacy Policy titled `` How We Disclose Information and Your Related Opt-out Choices . ''","This Privacy Policy only applies to information that we collect through the edX Website ( the `` Site , '' which consists of all content and pages located within the edX.org web domain ) and does not apply to information that we may collect from you in other ways ( for example , this policy does not apply to information that you may provide to us over the phone , by fax or through conventional mail ) .","Comments or other information posted by you to our forums , wikis or other areas of the Site designed for public communications or communications among registered class members may be viewed and downloaded by others who visit the Site ."
"For this reason , we encourage you to use discretion when deciding whether to post any information that can be used to identify you to those forums ( or other public or classwide areas ) .","You hereby consent to the collection , use , disclosure and retention by edX of your Personal Information as described under this Privacy Policy , including but not limited to the transfer of your personal data between edX and the third parties , affiliates and subsidiaries described in this Privacy Policy .","For further certainty , any consent relating to a right to transfer information referred to in this paragraph shall be deemed to include your consent to the transfer of the applicable Personal Information to a jurisdiction which may provide a different level of privacy protection than that available in your own country .","If you choose not to provide us with certain information required to provide you with various services offered on our Site , you may not be able to establish a user account and we may not be able to provide you with those services .","As used in this Privacy Policy , `` Personal Information '' means any information about yourself that you may provide to us when using the Site , such as when you sign up for a user account or enter into a transaction through the Site , which may include ( but is not limited to ) your name , contact information , gender , date of birth , occupation , and if you register for an ID Verified Certificate of Achievement , a driver 's license or other government issued identification ."
"For example , if you wish to purchase an ID Verified Certificate of Achievement , we will collect certain Personal Information necessary to authenticate your identity , as described in greater detail in the edX Terms of Service .","EdX does not currently collect financial information from you ; however , if you choose to purchase an ID Verified Certificate of Achievement , you will be directed to our third party payment processor ; and the submission of your payment information will be subject to the terms found at the payment landing page accessible via edX Terms of Service .","We also collect certain usage information about student performance and patterns of learning .","In addition , we track information indicating , among other things , which pages of our Site were visited , the order in which they were visited , when they were visited and which hyperlinks and other user interface controls were used .","We may log the IP address , operating system and browser software used by each user of the Site , and we may be able to determine from an IP address a user 's Internet Service Provider and the geographic location of his or her point of connectivity ."
"Various web analytics tools are used to collect this information .","Some of the information is collected through cookies ( small text files placed on your computer that store information about you , which can be accessed by the Site ) .","Most browsers offer instructions on how to reset the browser to reject cookies in the `` Help '' section of the toolbar .","If you reject our cookies , many functions and conveniences of this Site may not work properly .","Among other things , we and the educational institutions that provide courses through edX ( the `` Universities '' ) may use the information about you collected through the Site ( including your Personal Information ) in connection with the following ."
"In cases where we share or disclose your Personal Information : ( 1 ) the third party recipients are required to handle the Personal Information in a confidential manner and to maintain adequate security to protect the information from loss , misuse , unauthorized access or disclosure , alteration , and destruction ; and ( 2 ) we will only disclose and share the Personal Information that is required by the third party to fulfill the purpose stated at the time of collection .","To send you updates about online courses offered by edX or other events , to send you communications about products or services of edX , edX affiliates , or selected business partners that may be of interest to you , or to send you email messages about Site maintenance or updates .","For purposes described elsewhere in this Privacy Policy ( including , e.g. , Sharing with Third Parties ) .","To process refunds , as applicable .","We will share information we collect with the Universities , and we and the Universities may share this information ( including Personal Information ) with third parties as follows :"
"With service providers or contractors that perform certain functions on our or the Universities ' behalf , including processing information that you provide to us on the Site , processing purchases via third party providers , and other transactions through the Site , operating the Site or portions of it , providing or administering courses , or in connection with other aspects of edX or University services .","We may provide your Postings to students who later enroll in the same classes as you , within the context of the forums , the courseware or otherwise .","If we do re-post your Postings originally made to non-public portions of the Site , we will post them without your real name and e-mail ( except with your express permission ) , but we may use your username without your consent .","To provide opportunities for you to communicate with other users who may have similar interests or educational goals .","For instance , we may recommend specific study partners or connect potential student mentees and mentors ."
"In such cases , we may use all information collected about you to determine who might be interested in communicating with you , but we will only provide other users your username , and not disclose your real name or e-mail address to your contact .","To respond to subpoenas , court orders , or other legal process ; in response to a request for cooperation from law enforcement or another government agency ; to investigate , prevent or take action regarding illegal activities , suspected fraud , security or technical issues , or to enforce our Terms of Service , Honor Code or this Privacy Policy ; as otherwise may be required by applicable law ; or to protect our rights , property or safety or those of others .","With affiliates of edX or the Universities , or with successors in the event of a merger , acquisition or reorganization , for their use consistent with this Privacy Policy .","For integration with third party services .","For example , videos and other content may be hosted on YouTube and other websites not controlled by edX ."
"In addition , we may share aggregated information that does not personally identify you with the public and with third parties , including but not limited to researchers and business partners .","Our goal is to provide current and future visitors with the best possible educational experience .","To further this goal , we sometimes present different users with different versions of course materials and software .","We may publish or otherwise publicize results from this process , but , unless otherwise permitted under this Privacy Policy , those publications or public disclosures will not include Personal Information .","The Site contains links to websites published by third parties , including other content providers as well as certain service providers , such as those who process payments on behalf of edX ."
"We encourage you to be aware when you are be redirected to a third party website and review the privacy policies of each website you visit and use .","Nonetheless , no method of transmission over the Internet , or method of electronic storage , is 100 % secure ; and therefore , edX can not guarantee its absolute security .","Please note that we review and may make changes to this Privacy Policy from time to time .","In case you miss the notification referenced above , be sure to return to this page periodically to ensure familiarity with the most current version of this Privacy Policy .","In addition to the commitments set out in this Privacy Policy , ETS has taken steps to meet legal obligations in various countries with the aim of compliance with worldwide data privacy requirements ."
"You may also be subject to another privacy policy or other terms and conditions that are posted on ETS 's Website specific to a particular ETS program or service ( `` Other Agreement '' ) .","Based upon your specific relationship ( s ) with ETS , we may collect , use or disclose Personal Information ( defined below ) in ways described in more detail in one or more Other Agreements .","Personal Information is information that can identify you as a specific individual ( `` Personal Information '' ) .","For example , you might provide us the following information : responses and survey information and/or site registrations , test registration information , order information and payment information .","Personal data does not include anonymized aggregate or statistical information from which such identification can not be reconstituted ."
"If you register for a test , create an online account , or request one of our other services , we may collect the following Personal Information : full name , home address , email address , telephone number , Social Security number , passport number , and your answers to other similar background information questions , the test you are registering for , test date , payment information and how you specifically use our Website .","Depending on how you use the Website , your test results may also be accessed through the Website .","We use this information to find out how many people visit the Website to determine the areas of greatest interest on our Website , and to make improvements to the Website .","When you visit and interact with our Website , ETS and third parties with whom ETS has contracted to provide services to ETS may collect non-personal information ( for example , a catalog of the site pages you visit , or your IP address ) .","As with many other sites , our Website may use `` cookies '' or other technologies to help us deliver content specific to your interests , to process your reservations or requests , and/or to analyze your visiting patterns ."
"We may collect the following types of information about your visit including : the domain from which you access the Internet ; IP address ; operating system and information about the device or browser used when visiting the site ; date and time of your visit ; content you visited or downloaded ; and website ( such as google.com or bing.com ) and website referral source ( email notice or social media site ) that connected you to the website .","ETS uses third party measurement software to collect the information listed above .","Persistent cookies are stored on your computer for longer periods and are used for purposes including tracking the number of unique visitors to our site and information such as the number of views a page gets , how much time a user spends on a page , and other pertinent web statistics .","If you want to disable the use of cookies or remove them at any time from your computer , you can disable or delete them using your browser ( consult your browser 's `` Help '' menu to learn how to delete cookies ) ; however , you must enable cookies to access certain information on our Website .","Note that in limited instances , such as when you register for a test or create an online account , cookies may contain and be associated with the Personal Information we collect ."
"We may also collect data by using `` pixel tags , '' `` web beacons , '' `` clear GIFs '' or similar means ( collectively , `` pixel tags '' ) that allow us to know when you visit our Website .","Through pixel tags , we obtain non-personal information or aggregate information ( i.e. , your IP address , the areas of the Website you visit , your operating system , your browser version and the URL you came from ) which can be used to enhance your online experience and understand traffic patterns .","In addition , we may use third-party advertisers to serve or track advertisements on other websites .","Please note that these third parties also may use cookies , pixel tags and other technologies to , among other things , enable such third parties to record which ads your browser has loaded and which site pages you may have been viewing when the ads were delivered or accessed .","Use of such third-party sites is subject to the terms of use and privacy policies of those third parties ."
"ETS does not control the use of this technology or the resulting information and is not responsible for any actions or policies of such third parties .","notify you about updates , products , services and/or special offers from ETS , its affiliates and selected third parties","Based upon your specific relationship ( s ) with ETS , we may use your Personal Information in ways described in more detail in one or more Other Agreements .","We disclose your Personal Information to certain third parties with whom we have a direct or indirect business or contract relationship , to provide the products and services you have requested .","For example , when you register for a test , we will provide certain registration information to entities that administer the tests in your area ."
